Richness_z,ForestAllianceType,CCmedian,lower,upper,Richness
-0.21430668070541872,0,394.7254069826514,332.9704527771169,452.68396806850274,3
-0.21430668070541872,1,621.8665001998575,537.8671176776425,712.1823472770573,3
-0.5622669902378729,0,440.2685350356354,351.7737705226651,529.0350503892257,2
-0.5622669902378729,1,692.0386790875577,583.488304818592,806.102875724357,2
1.1775345574243978,0,254.54959750402696,195.92705983631916,316.23229714308627,7
1.1775345574243978,1,399.69387389045585,285.0457782261135,529.5050100035623,7
0.13365362882703544,0,354.03168755867614,307.52703340666983,399.47580741155167,4
0.13365362882703544,1,557.548923189396,476.68187292767493,646.349448460318,4
0.8295742478919438,0,283.79390280446387,236.55984413101334,339.777921062735,6
0.8295742478919438,1,446.90893379087714,343.44402316369536,563.0398544655189,6
0.48161393835948957,0,317.557661997998,272.54037731230136,362.30599916720377,5
0.48161393835948957,1,499.2682094797426,401.4929904988697,593.6885946920793,5
-0.910227299770327,0,491.3584579315274,378.5322194808615,634.4800218947062,1
-0.910227299770327,1,773.1131517838528,628.476506633179,945.5447504870459,1
1.5254948669568518,0,227.60903328094582,165.62556958423053,301.9313318630988,8
1.5254948669568518,1,358.3421534726096,236.6140404149212,501.5427399925933,8
